Date,Open,High,Low,Close,Adj Close,Volume
7/1/15,82.599998,85.379997,76.209999,78.339996,78.339996,255413600
8/1/15,78.199997,80.989998,58,70.839996,70.839996,424761000
9/1/15,64.379997,68.080002,57.200001,58.970001,58.970001,454809300
10/1/15,59.5,84.440002,58.200001,83.830002,83.830002,387429400
11/1/15,83.519997,86.419998,75.639999,84.080002,84.080002,465985100
12/1/15,83.769997,85.82,78.989998,81.269997,81.269997,313730300
1/1/16,78.18,78.68,65.339996,67.029999,67.029999,350835400
2/1/16,66.5,70.580002,59.25,68.809998,68.809998,314258500
3/1/16,70.019997,79.839996,69.860001,79.029999,79.029999,231297200
4/1/16,78.239998,81.779999,75.660004,76.940002,76.940002,215798500
5/1/16,76.889999,82.029999,74.120003,82,82,376682300
6/1/16,82,82,73.300003,79.529999,79.529999,373822200
7/1/16,79.120003,85,77.68,82.480003,82.480003,205076000
8/1/16,82.790001,98.860001,82.589996,97.190002,97.190002,450441900
9/1/16,97.300003,109.870003,97,105.790001,105.790001,420526800
10/1/16,105.449997,109,99,101.690002,101.690002,240008000
11/1/16,100.43,104.099998,87.879997,94.019997,94.019997,329213700
12/1/16,94,94.055,86.010002,87.809998,87.809998,218013800
1/1/17,89,104.57,88.080002,101.309998,101.309998,239144400
2/1/17,102.07,105.199997,100.019997,102.900002,102.900002,160454800
3/1/17,103.68,110.449997,102.099998,107.830002,107.830002,205442400
4/1/17,108.849998,115.989998,106.760002,115.5,115.5,172086400
5/1/17,115.629997,126.400002,114,122.459999,122.459999,277888800
6/1/17,122.82,148.289993,122.260002,140.899994,140.899994,552598000
7/1/17,141.75,160.389999,139.494995,154.949997,154.949997,273542200
8/1/17,156.25,177,147.5,171.740005,171.740005,473139700
9/1/17,171.990005,180.869995,166.789993,172.710007,172.710007,363859100
10/1/17,174.570007,185.119995,168.580002,184.889999,184.889999,337678900
11/1/17,187.880005,191.75,173.619995,177.080002,177.080002,420233600
12/1/17,175.270004,180.679993,164.25,172.429993,172.429993,416246000
1/1/18,176.399002,206.199997,175.699997,204.289993,204.289993,445098300
2/1/18,192.75,199.490005,168.880005,186.139999,186.139999,445029900
3/1/18,186.179993,201.5,175.449997,183.539993,183.539993,382712800
4/1/18,182.809998,183.630005,166.130005,178.539993,178.539993,323383100
5/1/18,177.580002,202.279999,175.770004,198.009995,198.009995,412014600
6/1/18,199.5,211.699997,182.039993,185.529999,185.529999,408738300
7/1/18,181.660004,198.350006,181.059998,197.979996,197.979996,251062900
